Table 9-1:  Revisions to U.S. Greenhouse Gas Emissions (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Average Annual Change
,Substitution of Ozone Depleting Substances,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+,+,+,+,+,+,+,+,+,+,+
,SF6,+,+,+,+,+,+,+,+,+,+,+,+,+,0.1,+,+,0.1,+,+,-0.7,-0.9,-0.9,0.1,0.1,-0.1,-0.2,0.1,-0.1
,Electrical Transmission and Distribution,+,+,+,+,+,+,+,+,+,+,+,+,+,0.1,+,+,+,+,+,-0.1,-0.1,-0.1,+,+,-0.1,-0.2,+,+
,Semiconductor Manufacture,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+,+,+,+,+,+,+,+,+,+,0.3,0.3,0.3,+,+,+,+
,Magnesium Production and Processing,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,-0.6,-0.9,-1.1,-0.2,-0.2,-0.1,0.1,0.1,-0.1
,NF3,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+,+,+,+,+,+,+,+,+,+,-0.1,-0.1,-0.1,+,+,+,+
,Semiconductor Manufacture,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+,+,+,+,+,+,+,+,+,+,-0.1,-0.1,-0.1,+,+,+,+
,Net Emissions (Sources and Sinks)b,28,27.6,32.8,31.2,31.9,47.2,29.4,32.7,19.1,17.7,0.7,15.8,0.7,103.3,50,9.9,21.1,17.2,45.8,17.3,63.2,33.7,44.6,23.4,67.2,-30.2,-24.9,28
,Percent Change,0.50%,0.50%,0.60%,0.50%,0.60%,0.80%,0.50%,0.50%,0.30%,0.30%,0.00%,0.20%,0.00%,1.60%,0.80%,0.10%,0.30%,0.30%,0.70%,0.30%,1.00%,0.60%,0.80%,0.40%,1.10%,-0.50%,-0.40%,0.50%
,Note: Net change in total emissions presented without LULUCF.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NC (No Change),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,+ Absolute value does not exceed 0.05 MMT CO2 Eq. or 0.05 percent.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,* Indicates a new source for the current Inventory year. Emissions from new sources are captured in net emissions and percent change totals.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a Not included in emissions total.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,b Sinks are only included in net emissions total.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes: Totals may not sum due to independent rounding. Parentheses indicate negative values.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
